都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,附図番号
愛知県,"豊田市,安城市,刈谷市,豊明市,名古屋市,弥富町,",道路計画,"撮影,写測図化","8000,,1000","149.7KM2,2.7KM2",名四国道工事事務所助言610711E3055,中日本航空(株),"61.06.30,61.10.31",
愛知県,"津島市,蟹江町,佐屋町,平和町,佐織町,飛島村,十四山村,",道路計画,"撮影,写測図化","8000,,1000","18.0KM2,2.9KM2",愛知県津島土木事務所助言610730E3068,中日本航空(株),"61.07.18,61.12.01",
愛知県,"津島市,佐屋町,蟹江町,十四山村,",河川管理,"撮影,写測図化","8000,,1000","4.0KM2,1.5KM2",愛知県助言620122E3145,中日本航空(株),"61.12.26,62.03.20",
愛知県,"常滑市,",都市計画,"撮影,写測図化","12500,,2500","49.6KM2,49.6KM2",愛知県常滑市助言610524E3023,株式会社中測技研,"61.05.19,62.09.30",610253
愛知県,"豊田市,",ほ場整備,写測図化,1000,2.1KM2,豊田南部土地改良区助言611110E3118,(株)パスコ,"61.08.21,62.02.28",
愛知県,"蒲郡市,",道路計画,写測図化,1000,0.4KM2,名四国道工事事務所助言611223E3136,中日本航空(株),"62.01.10,62.03.13",
愛知県,"名古屋市,",道路計画,写測図化,1000,2.4KM2,愛知国道工事事務所助言620217E3152,中日本航空(株),"61.12.26,62.03.25",
愛知県,"一宮市,",都市計画,編集,2500,79.0KM2,愛知県一宮市助言610424E3008,国際航業(株),"61.04.30,61.08.28",
愛知県,"稲沢市,",都市計画,"編集,編集,編集","2500,,10000,,20000","48.5KM2,48.5KM2,48.5KM2",愛知県稲沢市助言611223E3133,国際航業(株),"61.12.05,62.03.10",
愛知県,"瀬戸市,尾張旭市,",土地区画整理,"編集,編集","2500,,1000","0.7KM2,0.7KM2",住宅・都市整備公団助言610417E3005,(株)オオバ,"61.05.01,62.02.21",
愛知県,"小牧市,名古屋市,豊田市,西枇杷島町,新川町,清洲町,東栄町,鳳来町,",郵便地図調整,"編集,編集,編集","5000,,10000,,25000","37.3KM2,740.8KM2,1483.0KM2",東海郵政局助言610424E3007,直営,"61.05.07,61.10.30",
愛知県,"鳳来町,",郵便地図調整,"編集,編集","10000,,25000","26.0KM2,237.2KM2",東海郵政局助言620122E3146,直営,"62.03.09,62.03.26",
愛知県,"愛知県,",地盤変動調査,水準,1級,884.0km,愛知県助言610627E3047,"三協調査設計(株),玉野総合コンサルタント(株),(株)飯沼コンサルタント,中央コンサルタント(株),(株)朝日設計事務所","61.08.01,62.02.28",610555
三重県,"青山町,",ダム計画,基準点,2級,22point,水資源開発公団川上ダム調査所助言610718E3061,アジア航測(株),"61.06.24,61.10.09",
三重県,"御浜町,",道路台帳,"基準点,水準","3級,,3級","3point,0.9km",紀勢国道工事事務所助言611204E3126,黒潮設計,"61.09.02,62.01.31",
三重県,"桑名市,多度町,長島町,木曽岬村,",河川管理,水準,1級,182.0km,木曽川下流工事事務所助言611006E3100,(株)帝国建設コンサルタント,"61.09.28,62.02.28",
三重県,"長島町,木曽岬村,四日市市,鈴鹿市,",地盤変動調査,水準,1級,122.0km,三重県助言611014E3110,(株)福田測量社,"61.10.28,62.02.28",611300
三重県,"尾鷲市,",道路計画,水準,3級,1.1km,紀勢国道工事事務所助言611110E3115,高本測量(株),"61.08.19,61.12.10",
三重県,"紀伊長島町,",道路計画,縦横断,4級,1.3km,紀勢国道工事事務所助言620217E3151,(有)弘洋測量,"62.02.01,62.03.25",
三重県,"伊勢市,松阪市,小俣町,多気町,",河川管理,撮影,4000,33.7KM2,三重工事事務所助言611110E3116,国際航業(株),"61.10.24,62.03.20",611538
三重県,"津市,",都市計画,"撮影,写測修正","6000,,2500","101.7KM2,101.7KM2",三重県津市助言610513E3006,(株)パスコ,"60.11.02,61.08.31",610136
三重県,"宮川村,飯高町,",森林計画,撮影,16000,312.0KM2,三重県助言620325E3164,(株)パスコ,"62.04.01,62.09.30",612042
三重県,"上野市,青山町,",ダム計画,"撮影,撮影,写測図化,写測図化","8000,,20000,,1000,,5000","36.2KM2,42.3KM2,8.0KM2,2.9KM2",水資源開発公団川上ダム調査所助言620217E3153,アジア航測(株),"62.02.10,62.03.25",611928
三重県,"青山町,",都市計画,"撮影,撮影","12500,,8000","108.7KM2,12.9KM2",三重県青山町助言620325E3166,アジア航測(株),"62.03.10,62.04.15",612044
三重県,"多気町,大台町,勢和村,",道路台帳,"撮影,写測図化","4000,,500","0.8KM2,0.8KM2",紀勢国道工事事務所助言620217E3149,中央コンサルタント(株),"62.01.19,62.03.30",
三重県,"小俣町,",都市計画,"撮影,写測修正","10000,,2500","11.8KM2,11.8KM2",三重県小俣町助言610910E3088,玉野総合コンサルタント(株),"61.09.10,62.01.31",611099
三重県,"四日市市,楠町,",河川管理,"撮影,写測図化","4000,,500","9.5KM2,0.3KM2",三重工事事務所助言611014E3105,玉野総合コンサルタント(株),"61.10.11,62.02.20",
三重県,"四日市市,関町,",道路計画,"撮影,写測図化,編集","8000,,1000,,2500","42.2KM2,1.7KM2,0.6KM2",名阪国道工事事務所助言610711E3051,中日本航空(株),"61.06.17,61.11.20",610670
三重県,"四日市市,長島町,川越町,",道路計画,"撮影,写測図化","8000,,1000","149.7KM2,2.7KM2",名四国道工事事務所助言610711E3055,中日本航空(株),"61.06.30,61.10.31",
三重県,"川越町,",都市計画,"撮影,写測図化","12500,,2500","8.0KM2,8.0KM2",三重県川越町助言610730E3070,中日本航空(株),"61.07.19,61.12.15",610831
三重県,"北勢町,",都市計画,"カラー撮影,写測修正","12500,,2500","88.5KM2,30.0KM2",三重県北勢町助言620217E3150,(株)パスコ,"61.12.10,62.03.31",611925
三重県,"津市,久居市,",河川計画,写測図化,2500,31.5KM2,三重工事事務所助言610930E3096,(株)オオバ,"61.09.05,62.02.01",611215
三重県,"四日市市,",道路台帳,写測図化,1000,28.3KM2,三重県四日市市助言610417E3002,(株)パスコ,"61.04.03,61.08.30",610012
三重県,"三雲村,",道路計画,写測図化,1000,0.9KM2,三重工事事務所助言610711E3057,(株)パスコ,"61.06.02,61.09.30",
三重県,"鳥羽市,",平面図作成,写測図化,2500,9.6KM2,三重県鳥羽市助言610711E3052,写測エンジニアリング(株),"61.06.18,61.09.15",610671
三重県,"亀山市,関町,伊賀町,",道路計画,写測図化,1000,3.1KM2,名阪国道工事事務所助言610815E3072,玉野総合コンサルタント(株),"61.08.11,62.02.20",
三重県,"勢和村,",ほ場整備,写測図化,1000,1.9KM2,三重県勢和村助言610611E3038,中日本航空(株),"61.05.17,61.08.04",
三重県,"津市,名張市,鈴鹿市,伊勢市,鳥羽市,四日市市,",郵便地図調整,"編集,編集,編集","5000,,10000,,25000","37.3KM2,740.8KM2,1483.0KM2",東海郵政局助言610424E3007,直営,"61.05.07,61.10.30",
滋賀県,"大津市,草津市,信楽町,栗東町,",ダム計画,基準点,3級,28point,大戸川ダム調査事務所助言611027F0093,国際航業(株),"61.10.03,62.02.09",
滋賀県,"草津市,大津市,甲西町,甲南町,信楽町,水口町,",ダム計画,水準,1級,31.0km,大戸川ダム調査事務所助言611028F0095,近畿技術コンサルタンツ(株),"61.10.04,61.12.12",
滋賀県,"栗東町,",土地区画整理,"平板,基準点","500,,2級","0.5KM2,7point",滋賀県栗東町助言610619F0023,玉野総合コンサルタント(株),"61.05.30,61.09.06",
滋賀県,"浅井町,新旭町,甲西町,彦根市,",郵便地図調整,"平板,その他,その他","5000,,10000,,25000","14.0KM2,1031.9KM2,313.0KM2",近畿郵政局助言610508F0003,直営,"61.06.02,61.11.22",
