都道府県名,測量地域,測量目的,測量種別,等級・縮尺,事業量,計画機関,作業機関,実施時期,附図番号
愛知県,"一宮市,",道路台帳,"撮影,写測図化","8000,,1000","98.5KM2,79.0KM2",愛知県一宮市,国際航業(株)591011E0332,"59.10.08,62.01.20",590918
愛知県,"阿久比町,",都市計画,"撮影,写測図化","12500,,2500","30.2KM2,23.5KM2",愛知県阿久比町,中日本航空測量(株)590511E0168,"59.05.08,59.11.22",590029
愛知県,"東海市,",都市計画,"撮影,写測図化","12500,,2500","106.0KM2,42.3KM2",愛知県東海市,中日本航空測量(株)590530E0206,"59.05.29,59.11.06",590045
愛知県,"大治町,",道路台帳,"撮影,写測図化","8000,,1000","17.6KM2,6.9KM2",愛知県大治町,(株)パスコ590516E0189,"59.05.25,60.03.25",590031
愛知県,"一宮町,",都市計画,"撮影,写測図化","12500,,2500","36.6KM2,31.1KM2",愛知県一宮町,(株)パスコ590530E0202,"59.05.23,59.09.08",590044
愛知県,"豊田市,",道路台帳,"撮影,写測図化","4000,,500","26.7KM2,9.7KM2",愛知県豊田市,(株)パスコ590605E0216,"59.05.31,60.03.31",
愛知県,"豊橋市,",道路台帳,"撮影,写測図化","8000,,1000","258.6KM2,99.1KM2",愛知県豊橋市,(株)パスコ590718E0288,"59.07.16,62.03.30",590286
愛知県,"渥美町,",道路台帳,"撮影,写測図化","8000,,1000","81.9KM2,26.3KM2",愛知県渥美町,(株)パスコ600128E2007,"60.01.25,61.03.31",591546
愛知県,"名古屋市,",都市整備計画,"撮影,写測図化","4000,,500","3.3KM2,0.9KM2",愛知県名古屋市,アジア航測(株)590912E0314,"59.08.31,59.12.20",
愛知県,"知多市,",道路台帳,撮影,8000,46.0KM2,愛知県知多市,アジア航測(株)590921E0321,"59.08.31,59.12.08",590816
愛知県,"小牧市,春日井市,",道路計画,"撮影,写測図化","8000,,1000","6.3KM2,1.8KM2",愛知国道工事事務所,アジア航測(株)591017E0338,"59.10.08,60.01.15",
愛知県,"津島市,祖父江町,弥富町,立田村,",河川管理,"撮影,写測修正","20000,,10000","68.1KM2,66.8KM2",木曽川下流工事事務所,アジア航測(株)591017E0339,"59.10.12,59.11.30",591030*
愛知県,"蒲郡市,",都市計画,"撮影,写測修正","12500,,2500","54.1KM2,54.1KM2",愛知県蒲郡市,中央コンサルタント(株)590614E0223,"59.05.24,59.11.19",590078
愛知県,"岡崎市,豊田市,額田町,下山村,作手村,",道路台帳,"撮影,写測図化","8000,,1000","214.0KM2,5.8KM2",愛知県,中央コンサルタント(株)591106E0356,"59.10.29,60.02.28",
愛知県,"三好町,",都市計画,"撮影,写測修正","12500,,2500","142.0KM2,32.2KM2",愛知県三好町,中央コンサルタント(株)591114E0358,"59.10.27,60.02.23",591174
