都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,備考,2018.01.14修正
北海道,"稚内市,",担い手草地増幌地区,基準点,3級,4point,助言13.05.31A0054北海道　宗谷支庁,旭川設計測量㈱,"13.05.31
13.07.19",,
北海道,"新冠町,",草地整備新冠地区,基準点,3級,16point,助言13.05.31A0055北海道　日高支庁,㈱細道測量,"13.05.31
13.11.30",,
北海道,"江別市,",土地改良,基準点,3級,58point,助言13.05.31A0056北海道　石狩支庁,"北海道農業土木技術指導協同
組合","13.05.31
13.12.20",,
北海道,"長沼町,",農村総合整備馬追地区,基準点,3級,4point,助言13.05.31A0057北海道　空知支庁,開成コンサルタント㈱,"13.05.31
13.07.23",,
北海道,"幌加内町,",農道調査設計,基準点,3級,3point,助言13.05.31A0058北海道　空知支庁,㈱田西設計コンサル,"13.06.01
13.06.30",,
北海道,"豊頃町,",畑総牛首別地区,基準点,3級,7point,助言13.05.31A0059北海道　十勝支庁,㈱東亜エンジニアリング,"13.06.01
13.08.31",,
北海道,"豊頃町,",土地改良（明渠排水）,基準点,3級,4point,助言13.05.31A0060北海道　十勝支庁,北見設計測量㈱,"13.06.01
13.08.30",,
北海道,"長沼町,",ほ場整備事業配田内地区,"基準点,基準点","3級,,4級","58point,2.2KM2",助言13.06.01A0061北海道　空知支庁,拓新エンジニア㈱,"13.06.01
14.02.28",,
北海道,"虻田町,",道路計画,基準点,2級,13point,助言13.06.05A0062室蘭開発建設部,㈱ドーコン,"13.10.01
13.10.10",,
北海道,"小平町,",小平蘂川広域基幹河川改修,基準点,2級,7point,助言13.06.05A0063北海道　留萌土木現業所,ロイヤルコンサルタント㈱,"13.06.05
13.06.29",,
北海道,"旭川市,",事業用地確定測量,基準点,3級,7point,助言13.06.05A0064北海道　上川支庁,㈱松村測量設計,"13.06.06
13.08.31",,
北海道,"丸瀬布町,",草地整備改良事業,基準点,3級,8point,助言13.06.06A0065北海道　網走支庁,北海設計㈱,"13.06.06
13.08.30",,
北海道,"黒松内町,",上水道台帳,"カラー撮影,写測図化","8000,,1000","19.1KM2,1.9KM2",助言13.06.18A0066黒松内町,㈱道測テクニス,"13.06.05
13.12.20",,
北海道,"名寄市,",ｻﾝﾋﾟﾗｰﾊﾟｸ整事業,"基準点,基準点,基準点","2級,,3級,,4級","7point,3point,15point",助言13.06.11A0067北海道　旭川土木現業所,㈱アサヒ建設コンサルタント,"13.06.11
13.10.31",,
北海道,"新篠津村,",土地総北新地区,基準点,3級,27point,助言13.06.11A0068北海道　石狩支庁,㈱帝国設計事務所,"13.06.11
13.12.20",,
北海道,"滝上町,",用地測量,基準点,2級,4point,助言13.06.11A0069滝上町,㈱村越工務所,"13.06.11
14.03.08",,
北海道,"中標津町,",農道整備特別対策,基準点,3級,7point,助言13.06.11A0070北海道　根室支庁,㈱松木測量設計,"13.06.11
13.07.31",,
北海道,"秩父別町,",用水路改修,基準点,3級,20point,助言13.06.11A0071北海道　空知支庁,㈱ルーラルエンジニア,"13.06.11
13.11.30",,
北海道,"清水町,",路線測量,基準点,3級,12point,助言13.06.11A0072北海道　十勝支庁,㈱アース設計事務所,"13.06.11
13.12.20",,
北海道,"夕張市,",原石運搬路実測線測量,基準点,1級,1point,助言13.06.12A0073石狩川開発建設部,北成測量コンサルタント㈱,"13.06.12
13.10.31",,
北海道,"音別町,",用地測量,基準点,3級,4point,助言13.06.13A0074釧路開発建設部,㈲柴田測量社,"13.06.13
13.07.11",,
北海道,"沼田町,",達布石狩沼田線,基準点,2級,2point,助言13.06.13A0075北海道　札幌土木現業所,三砂測量設計㈱,"13.06.13
13.09.10",,
北海道,"浜中町,",別海厚岸線用地測量,基準点,3級,6point,助言13.06.13A0076北海道　釧路土木現業所,㈲渋谷測量社,"13.06.14
13.08.31",,
北海道,"比布町,",道営ほ場整備事業,基準点,2級,2point,助言13.06.13A0077北海道　上川支庁,"北海道土地改良事業団体連合
会","13.06.20
13.07.30",,
北海道,"留辺蘂町,",事業用地確定,基準点,3級,7point,助言13.06.13A0078北海道　網走支庁,カワムラ測量設計㈱,"13.06.13
13.06.25",,
北海道,"中標津町,",事業用地確定,基準点,3級,3point,助言13.06.13A0079北海道　根室支庁,㈱田西設計コンサル,"13.06.13
13.08.10",,
北海道,"標津町,",事業用地確定,基準点,3級,6point,助言13.06.13A0080北海道　根室支庁,㈱日建エンヂニアリング,"13.06.13
13.08.03",,
