都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,,,2018.01.09計算結果に基づく修正
北海道,"帯広市,",地盤沈下状況の把握,水準,1級,15.3km,北海道帯広市助言630919A0520,(株)北海道測量図工社,"63.09.19,01.02.20",,,
北海道,"札幌市,",地盤沈下状況の把握,水準,1級,49.1km,北海道札幌市助言630928A0526,大東測地(株),"63.09.20,63.12.06",,,
北海道,"札幌市,石狩町,",地盤変動状況の把握,水準,1級,44.0km,北海道立地下資源調査所助言630929A0538,大東測地(株),"63.09.26,63.11.30",,,
北海道,"札幌市,",公共下水道台帳図整備,水準,2級,44.0km,北海道札幌市助言630719A0402,大東測地(株),"63.07.18,63.09.30",,,
北海道,"赤平市,",石狩川流域中部2号幹線管渠工事,水準,3級,5.1km,北海道札幌土木現業所助言630729A0419,ユニオンデーターシステム(株),"63.07.25,63.09.30",,,
北海道,"枝幸町,",漁港建設,水準,簡級,5.0km,北海道稚内土木現業所助言640105A0689,北陽測量設計(株),"01.01.20,01.01.22",,,
北海道,"広尾町,標津町,別海町,弟子屈町,標茶町,厚岸町,釧路町,",国有林境界検測,路線,簡級,25.0km,帯広営林支局助言630428A0079,直営,"63.05.09,63.11.19",,,
北海道,"留萌市,",ダム計画,"撮影,撮影,写測図化,写測図化","4000,,8000,,500,,1000","3.5KM2,7.9KM2,0.4KM2,1.3KM2",留萌開発建設部助言630615A0261,国際航業(株),"63.06.27,63.09.30",,,
北海道,"七飯町,森町,",道路計画(国道5号),"撮影,写測図化","12500,,2500","20.0KM2,6.1KM2",函館開発建設部助言630623A0319,国際航業(株),"63.07.20,63.11.16",,,
北海道,"斜里町,","国道334,日の出地区道路計画","撮影,写測図化","12500,,2500","13.3KM2,1.8KM2",網走開発建設部助言630630A0342,国際航業(株),"63.06.05,63.10.14",,,
北海道,"由仁町,",由仁総合計画・集落排水事業計画,"撮影,撮影,写測図化,写測図化","4000,,8000,,1000,,2500","7.7KM2,31.8KM2,8.0KM2,12.0KM2",北海道由仁町助言630815A0457,国際航業(株),"63.08.01,01.01.31",,,
北海道,"函館市,",函館市海域漁場基本図作成,撮影,6000,34.6KM2,北海道函館市助言630829A0470,国際航業(株),"63.09.01,01.03.10",,,
北海道,"長万部町,",長万部町都市計画図作成,"撮影,撮影,写測図化,写測図化","12500,,30000,,2500,,10000","23.2KM2,113.8KM2,12.6KM2,42.0KM2",北海道長万部町助言631206A0669,国際航業(株),"63.11.25,01.03.20",,,
北海道,"深川市,幌加内町,",道路計画,"撮影,写測図化","8000,,1000","13.6KM2,2.4KM2",札幌開発建設部助言630426A0071,(株)八州,"63.04.28,63.08.30",,,
北海道,"苫小牧市,厚真町,鵡川町,門別町,",道路計画,"撮影,撮影,写測図化","8000,,25000,,1000","8.2KM2,132.0KM2,1.6KM2",室蘭開発建設部助言630513A0100,(株)八州,"63.04.26,63.07.20",,,
北海道,"江別市,当別町,",道路計画,"撮影,写測図化","8000,,1000","21.0KM2,1.4KM2",札幌開発建設部助言630520A0150,(株)八州,"63.05.25,63.08.30",,,
北海道,"阿寒町,釧路町,標茶町,",道路計画,"撮影,撮影,写測図化,写測図化","12500,,8000,,2500,,1000","42.9KM2,16.3KM2,4.9KM2,1.2KM2",釧路開発建設部助言630616A0269,(株)八州,"63.06.10,63.09.27",,,
北海道,"富良野市,南富良野町,東川町,",道路計画(三の山・野花南),"撮影,写測図化","8000,,1000","29.8KM2,3.2KM2",旭川開発建設部助言630622A0309,(株)八州,"63.06.07,63.11.15",,,
北海道,"名寄市,風連町,比布町,愛別町,",道路計画(名寄バイパス・愛別),"撮影,撮影,写測図化,写測図化","12500,,25000,,2500,,5000","13.2KM2,158.7KM2,2.6KM2,25.8KM2",旭川開発建設部助言630622A0310,(株)八州,"63.06.07,63.11.15",,,
北海道,"上ノ国町,",道路計画(道道館町福島線),"撮影,写測図化","12500,,2500","34.4KM2,9.4KM2",函館開発建設部助言630623A0321,(株)八州,"63.07.22,63.11.18",,,
