都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,2018.01.14修正
大阪府,"門真市,",土地区画整理,"基準点,基準点","2級,,3級","2point,2point",門真市石原東・幸福北土地区画整理組合助言F0006,(財)大阪府都市整備センター,"1999.04.01,1999.08.31",,
大阪府,"柏原市,",都市計画,"カラー撮影,写測修正","12500,,2500","25.4KM2,9.3KM2",大阪府柏原市助言F0022,富士測量(株),"1999.05.21,1999.10.29",,
大阪府,"岸和田市,",農地開発,"基準点,基準点","2級,,3級","9point,31point",大阪府知事助言F0029,南大阪コンサルタント(株),"1999.08.31,2000.03.31",,
大阪府,"豊中市,",都市計画,基準点,4級,150point,大阪府豊中市助言F0034,(株)ジェクト,"1999.06.14,1999.12.28",,
大阪府,"大阪市,",17条地図,"基準点,基準点","2級,,3級","3point,7point",大阪法務局助言F0035,(株)ユカワ測量設計,"1999.06.10,1999.08.31",,
大阪府県境兵庫県,"豊中市,県境伊丹市,",現況測量,"基準点,基準点","3級,,4級","4point,36point",大阪府豊中市助言F0048,昭和(株),"1999.07.01,2000.02.29",,
大阪府,"岸和田市,",土地区画整理,"基準点,基準点","2級,,3級","6point,36point",岸和田市尾生久米田土地区画整理組合助言F0053,南海カツマ(株),"1999.07.10,1999.10.10",,
大阪府,"大阪市,",土地区画整理,基準点,3級,43point,大阪府大阪市助言F0057,大阪市,"1999.07.05,1999.12.24",,
大阪府,"大阪市,",道路計画,"撮影,水準","10000,,簡級","44.4KM2,33km",近畿地方建設局近畿幹線道路調査事務所助言F0091,中日本航空(株),"1999.08.27,2000.01.11",,
大阪府,"茨木市,",ほ場整備,基準点,4級,21point,大阪府助言F0131,サンスイコンサルタント(株),"1999.09.01,2000.03.17",,
大阪府,"大阪市,",地盤変動調査,水準,1級,190km,大阪府大阪市助言F0134,(株)淀川アクテス,"1999.10.01,2000.02.29",,
大阪府,"豊能町,",ほ場整備,"基準点,基準点","3級,,4級","26point,50point",大阪府助言F0142,(株)近畿シビルコンサルタント,"1999.10.04,2000.03.10",,
大阪府,"堺市,",道路台帳,基準点,1級,21point,大阪府堺市助言F0145,国際航業(株),"1999.10.20,2000.03.31",,
大阪府,"堺市,",道路台帳,"撮影,写測修正","4000,,500","6.4KM2,0.5KM2",大阪府堺市助言F0146,国際航業(株),"1999.10.20,2000.03.31",,
大阪府,"堺市,",土地区画整理,基準点,3級,5point,堺市鳳西土地区画整理組合助言F0149,阪和新都市設計(株),"1999.10.15,1999.12.20",,
大阪府,"池田市,",下水道台帳,"撮影,写測修正","4000,,500","2.4KM2,1.3KM2",大阪府池田市助言F0162,写測エンジニアリング(株),"1999.10.13,2000.02.29",,
大阪府,"吹田市,",道路台帳,基準点,3級,100point,大阪府吹田市助言F0166,(株)パスコ,"1999.11.25,2000.03.31",,
大阪府,"高槻市,東大阪市,池田市,茨木市,柏原市,交野市,門真市,四條畷市,吹田市,摂津市,大東市,豊中市,寝屋川市,枚方市,箕面市,守口市,八尾市,島本町,豊能町,能勢町,和泉市,泉大津市,泉佐野市,大阪狭山市,貝塚市,河内長野市,岸和田市,泉南市,高石市,富田林市,羽曳野市,阪南市,藤井寺市,松原市,忠岡町,熊取町,田尻町,岬町,太子町,河南町,千早赤阪村",地盤変動調査,水準,1級,313.9km,大阪府助言F0175,(株)富士開発コンサルタント他3社,"1999.11.05,2000.02.25",,
大阪府,"豊中市,",道路台帳,基準点,4級,94point,大阪府豊中市助言F0176,テクニカ,"1999.10.29,2000.03.31",,
大阪府,"富田林市,",農地開発,"基準点,基準点","2級,,3級","13point,22point",大阪府南河内農と緑の総合事務所助言F0188,晃和調査設計(株),"1999.12.01,2000.03.25",,
大阪府,"大阪市,吹田市,寝屋川市,大東市,",鉄道計画,写測修正,10000,100KM2,日本鉄道建設公団大阪支社助言F0189,アジア航測(株),"1999.11.01,2000.03.27",,
