都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,2018.01.10地名修正
千葉県,"八街町,",道路台帳,"基準点,撮影,写測図化","1級,,4000,,500","32point,75.5KM2,16.8KM2",千葉県八街町助言601213C0368,"(株)パスコ,成果***審査***","60.12.06,62.05.31",601761,,
千葉県,"白子町,",道路台帳,"基準点,平板","1級,,500","13point,27.0KM2",千葉県白子町助言600819C0238,"セントラルサーベイ(株),成果610305審査***","60.08.10,60.12.20",600985,,
千葉県,"船橋市,",道路台帳,基準点,2級,195point,千葉県船橋市助言600711C0197,"京葉測量(株),成果610521審査***","60.06.20,61.03.31",600731,,
千葉県,"千葉市,",土地区画整理,基準点,2級,4point,千葉県千葉市助言601008C0292,"日経コンサルタント(株),成果601219審査610301","60.10.07,61.03.31",,,
千葉県,"市原市,",道路台帳,"基準点,基準点,平板","2級,,4級,,500","43point,3490point,3.0KM2",千葉県市原市助言600806C0236,"(株)宮原測量,房州測量設計(株),太陽測量(株),(有)門前測量設計事務所,(株)サンユー測量設計,日東測量技研(株),成果610312審査***","60.07.29,61.03.31",,,
千葉県,"市原市,",道路台帳,"基準点,平板,水準","2級,,500,,3級","51point,3.1KM2,206.0km",千葉県市原市助言601111C0325,"(株)宮原測量,房州測量設計(株),太陽測量(株),(有)門前測量設計事務所,(株)サンユー測量設計,日東測量技研(株),成果***審査***","60.11.12,61.03.31",,,
千葉県,"千葉市,",道路台帳,"基準点,基準点,水準,平板","3級,,4級,,3級,,500","16point,9.3KM2,50.0km,9.3KM2",千葉県千葉市助言600905C0263,"双葉測量(株),東関東測量設計(株),成果***審査***","60.09.12,61.03.26",,,
千葉県,"千葉市,",道路台帳,"基準点,基準点,平板","3級,,4級,,500","7point,7.4KM2,7.4KM2",千葉県千葉市助言601226C0384,"房総測量(株),日測(株),成果***審査***","60.12.26,61.03.31",,,
千葉県,"四街道市,",土地区画整理,"基準点,基準点,平板","3級,,簡級,,500","1point,9point,0.1KM2",千葉県四街道市助言600724C0224,"(株)中央測量,成果610405審査***","61.01.10,61.03.31",,,
千葉県,"酒々井町,",道路台帳,"基準点,平板","4級,,500","62.1km,1.6KM2",千葉県酒々井町助言600723C0215,"高木測量(株),成果***審査***","60.07.10,61.03.25",,,
千葉県,"千葉市,市川市,船橋市,木更津市,松戸市,野田市,茂原市,成田市,佐倉市,東金市,八日市場市,旭市,習志野市,柏市,勝浦市,市原市,流山市,八千代市,我孫子市,鎌ケ谷市,",地盤変動調査,水準,1級,2365.0km,千葉県助言601111C0326,"(株)八州,セントラル航業(株),京葉測量(株),(株)協立コンサルタンツ,成果610513審査***","60.11.05,61.03.25",601599,,
