都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期,,2018.01.14修正
北海道,"当別町,",その他,基準点測量,３級,46point,"北海道石狩振興局 
助言　　　H24.6.25  A0115","株式会社北海道農業建
設コンサルタント ","H24.6.19 
H24.11.30",,
北海道,"幕別町,",その他,基準点測量,３級,3point,"北海道十勝総合振興局 
助言　　　H24.6.25  A0116","平田技術コンサルタント
株式会社 ","H24.6.19 
H24.8.10",,
北海道,"池田町,",その他,基準点測量,３級,9point,"北海道十勝総合振興局 
助言　　　H24.8.10  A0117",株式会社みずほ栄設計 ,"H24.6.20 
H25.1.30",,
北海道,"足寄町,",その他,基準点測量,２級,12point,"北海道十勝総合振興局 
助言　　　H24.6.27  A0118",土木測量設計株式会社 ,"H24.6.20 
H24.11.30",,
北海道,"小樽市,",その他,基準点測量,１級,1point,"北海道後志総合振興局 
助言　　　H24.6.27  A0119",株式会社エーティック ,"H24.6.21 
H24.10.1",,
北海道,"帯広市,",その他,基準点測量,３級,3point,"北海道十勝総合振興局 
助言　　　H24.6.27  A0120","有限会社新東測量設計
社 ","H24.6.28 
H25.1.30",,
北海道,"帯広市,",その他,基準点測量,３級,3point,"北海道十勝総合振興局 
助言　　　H24.6.27  A0121","株式会社土木技術コン
サルタント ","H24.6.19 
H24.11.30",,
北海道,"伊達市,",その他,基準点測量,２級,4point,"北海道開発局室蘭開発建設部 
助言　　　H24.6.27  A0122","株式会社タナカコンサル
タント ","H24.5.31 
H24.11.12",,
北海道,"名寄市,",その他,基準点測量,２級,2point,"北海道開発局旭川開発建設部 
助言　　　H24.6.27  A0123",株式会社国策測量設計 ,"H24.6.22 
H24.8.28",,
北海道,"大樹町,",その他,基準点測量,３級,7point,"北海道開発局帯広開発建設部 
助言　　　H24.6.27  A0124","株式会社富士雄設計コ
ンサルタント ","H24.6.22 
H24.10.12",,
北海道,"大樹町,",その他,基準点測量,３級,5point,"北海道開発局帯広開発建設部 
助言　　　H24.6.27  A0125","大開技術コンサルタント
株式会社 ","H24.6.15 
H24.10.12",,
北海道,"奈井江町,",その他,基準点測量,３級,8point,"北海道空知総合振興局 
助言　　　H24.6.27  A0126",技研測量設計株式会社 ,"H24.6.21 
H25.2.8",,
北海道,"浦臼町,",その他,基準点測量,３級,4point,"北海道空知総合振興局 
助言　　　H24.6.27  A0127   ",扇コンサル株式会社 ,"H24.6.8 
H24.11.30",,
北海道,"小樽市,",その他,"基準点測量,水準測量,数値撮影(デジタル),数値図化","３級,,３級,,12,,1000","2point,1km,8.64KM2,0.28KM2","北海道後志総合振興局 
助言　　　H24.7.11  A0128",株式会社シビテック ,"H24.6.6 
H24.8.30",,
北海道,"富良野市,中富良野町,",その他,基準点測量,３級,119point,"北海道上川総合振興局 
助言　　　H24.6.27  A0129","株式会社富士建設コン
サル ","H24.6.22 
H25.1.30",,
北海道,"中富良野町,",その他,基準点測量,３級,114point,"北海道上川総合振興局 
助言　　　H24.6.27  A0130",株式会社北開測地 ,"H24.6.22 
H25.1.30",,
北海道,"上富良野町,",その他,"基準点測量,基準点測量","２級,,３級","7point,8point","北海道上川総合振興局 
助言　　　H24.6.27  A0131",株式会社Ai測地コンサル ,"H24.7.5 
H24.8.30",,
北海道,"枝幸町,",その他,"基準点測量,基準点測量","１級,,３級","3point,4point","北海道宗谷総合振興局 
助言　　　H24.6.27  A0132",株式会社カワムラ ,"H24.6.23 
H24.9.30",,
北海道,"下川町,",その他,航空レーザ測量,1000,407KM2,"北海道下川町 
助言　　　H24.6.27  A0133",北海航測株式会社 ,"H24.6.25 
H25.2.20",,
北海道,"岩見沢市,",その他,基準点測量,３級,20point,"北海道空知総合振興局 
助言　　　H24.6.28  A0134","株式会社帝国設計事務
所 ","H24.6.22 
H25.2.28",,
北海道,"岩見沢市,",その他,基準点測量,３級,13point,"北海道空知総合振興局 
助言　　　H24.6.28  A0135","株式会社創生コンサルタ
ント ","H24.6.26 
H25.2.28",,
北海道,"乙部町,",その他,"基準点測量,基準点測量","１級,,３級","1point,2point","北海道乙部町 
助言　　　H24.6.28  A0136",ダイシン設計株式会社 ,"H24.6.26 
H24.8.31",,
北海道,"美深町,",その他,"基準点測量,基準点測量","１級,,２級","1point,2point","北海道開発局旭川開発建設部 
助言　　　H24.7.19  A0137",旭川設計測量株式会社 ,"H24.6.26 
H24.9.28",,
北海道,"沼田町,",その他,基準点測量,３級,18point,"北海道空知総合振興局 
助言　　　H24.7.2  A0138","株式会社香島コンサルタ
ント ","H24.6.26 
H25.2.28",,
北海道,"沼田町,",その他,基準点測量,３級,12point,"北海道空知総合振興局 
助言　　　H24.7.2  A0139",ダイシン設計株式会社 ,"H24.6.26 
H24.11.30",,
北海道,"名寄市,",その他,基準点測量,３級,7point,"北海道上川総合振興局 
助言　　　H24.7.2  A0140","株式会社北海道水工コ
ンサルタンツ ","H24.7.9 
H25.3.25",,
