都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,2018.01.09修正
埼玉県,"新座市,",道路台帳,"基準点,水準","1級,,3級","25point,18point",埼玉県新座市助言620716C0048,(株)八州,"62.06.04,62.09.14",620731,,
埼玉県,"都幾川村,",道路台帳,"基準点,基準点,撮影,撮影,写測図化,写測図化","1級,,2級,,4000,,8000,,500,,1000","21point,27point,41.8KM2,41.8KM2,3.0KM2,1.8KM2",埼玉県都幾川村助言620415C0004,(株)パスコ,"62.03.20,63.03.10",620038,,
埼玉県,"熊谷市,",土地区画整理,"基準点,平板","2級,,500","2point,0.2KM2",埼玉県熊谷市助言621029C0138,昭和測量工業(株),"62.10.31,63.03.31",,,
埼玉県,"江南町,",土地区画整理,"基準点,平板","2級,,500","9point,0.3KM2",江南町江南土地区画整理組合助言621102C0134,(株)日測,"62.10.20,63.03.31",,,
埼玉県,"越生町,",土地区画整理,"基準点,平板","2級,,500","9point,0.5KM2",埼玉県越生町助言620409C0002,富士測量設計(株),"62.04.10,63.03.31",,,
埼玉県,"新座市,",土地区画整理,"基準点,基準点","3級,,4級","13point,44point",新座市野火止土地区画整理組合助言620819C0067,東日本航空(株),"62.07.10,62.09.30",,,
埼玉県,"与野市,",道路台帳,"基準点,基準点,水準,平板","3級,,4級,,3級,,500","100point,400point,35.0km,0.4KM2",埼玉県与野市助言620525C0017,国際航業(株),"62.04.20,63.03.20",,,
埼玉県,"松伏町,",土地区画整理,"基準点,基準点,平板","3級,,4級,,500","17point,216point,0.5KM2",埼玉県松伏町助言621029C0137,昭和測量工業(株),"62.10.01,63.03.15",,,
埼玉県,"大宮市,",土地区画整理,"基準点,基準点,平板","3級,,4級,,500","31point,177point,0.4KM2",埼玉県大宮市助言630111C0221,昭和測量工業(株),"62.12.25,63.03.18",,,
埼玉県,"東松山市,",土地区画整理,"基準点,基準点,水準,平板","3級,,4級,,3級,,500","3point,107point,3point,0.1KM2",埼玉県東松山市助言630114C0214,昭和測量工業(株),"62.11.27,63.03.15",,,
埼玉県,"浦和市,",土地区画整理,"基準点,基準点,平板","3級,,4級,,500","21point,65point,0.2KM2",浦和市円正寺・太田窪特定土地区画整理組合助言630128C0243,昭和測量工業(株),"63.01.21,63.03.25",,,
埼玉県,"八潮市,",土地区画整理,"基準点,基準点,平板","3級,,4級,,500","23point,360point,0.8KM2",埼玉県八潮市助言630●C0256,昭和測量工業(株),"63.02.01,64.03.31",,,
埼玉県,"熊谷市,",道路台帳,"基準点,基準点,平板","3級,,4級,,500","37point,137point,20.3KM2",埼玉県熊谷市助言630310C0288,昭和測量工業(株),"62.12.10,63.03.25",,,
埼玉県,"深谷市,",土地区画整理,"基準点,基準点,平板,平板,平板","3級,,4級,,500,,1000,,2500","4point,120point,0.2KM2,0.2KM2,0.2KM2",埼玉県深谷市助言630323C0300,昭和測量工業(株),"63.03.01,63.03.25",,,
