都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号,,地域修正,05_地域修正,～の有無,2018.01.11地名修正
大阪府,摂津市,道路台帳,写測,500,1.3KM2,揖津市,パシフイック航業,"54.12.18,55.3.29",,,,,,地名修正
兵庫県,"小野市,滝野町,西脇市",道路計画,縦横断,,13.5km,近畿地建兵庫国道工事事務所,"オリエンタル・コンサルタント,阪神測量","54.5.1,55.3.31",,,,郡削除,,
兵庫県,竹野町,都市計画,"撮影,写測","8000,,2500","114.0KM2,44.0KM2",竹野町,国際航業,"54.4.20,54.8.30",28,,,郡削除,,
兵庫県,西宮市,都市計画,"撮影,写測新規,写測修正","12500,,2500,,2500","102.0KM2,55.2KM2,42.3KM2",西宮市,アジア航測,"54.5.2,55.2.20",69,写測修正,,,,
兵庫県,神戸市,土量計算,"撮影,写測","8000,,1000","70.0KM2,42.7KM2",神戸市,東日本航空,"54.5.18,55.3.10",119,,,,,
兵庫県,西宮市,道路台帳,平板,500,0.5KM2,西宮市,東洋航空事業,"54.6.1,55.2.28",,,,,,
兵庫県,三田市,ダム計画,写測,2500,4.8KM2,近畿農政局東播用水農業水利事業所,東洋航業事業,"54.6.25,54.7.31",,,,,,
兵庫県,加古川市,大堰建設計画,撮影,8000,28.0KM2,近畿地建姫路工事事務所,国際航業,"54.6.30,54.8.7",280,,測量地域修正,,,
兵庫県,尼崎市,(修正)都市計画,"撮影,写測","12500,,2500","90.0KM2,49.1KM2",尼崎市,パシフイック航業,"54.6.22,54.11.9",284,,,,,
兵庫県,播磨町,道路台帳,"撮影,写測","8000,,1000","29.3KM2,9.0KM2",播磨町,関西航測,"54.5.16,55.2.15",286,,,郡削除,,
兵庫県県境大阪府,"加古川市,高砂市,県境大阪市",鉄道計画,"撮影,撮影,写測,写測","4000,,12500,,500,,2500","4.8KM2,23.1KM2,1.1KM2,3.2KM2",日本国有鉄道大阪工事局,東洋航空事業,"54.7.20,54.12.31",369,,,県名修正,,
兵庫県,加西市,総合計画,"撮影,写測","12500,,2500","180.0KM2,90.7KM2",加西市,パシフイック航業,"54.7.1,55.3.30",371,,,,,
兵庫県,新宮町,道路台帳,"撮影,写測","8000,,1000","99.5KM2,13.4KM2",新宮町,関西航測,"54.7.10,55.3.25",422,,,郡削除,,
兵庫県,尼崎市,道路台帳,写測,500,9.3KM2,尼崎市,パシフイック航業,"54.8.15,55.1.27",,,,,,
兵庫県,"三木市,小野市,西脇市,社町,滝野町",下水道事業,"水準,基準点",",,","57.0km,10point",兵庫県社土木事務所,山陰ボーリング,"54.8.20,54.9.20",,,,郡削除,,
兵庫県,川西市,道路台帳,平板,500,0.4KM2,川西市,"国際航業,アジア測量設計","54.8.15,55.2.29",,,,,,
兵庫県,尼崎市,地盤沈下,水準,,100.0km,尼崎市,東洋航空事業,"54.11.1,55.2.28",750,,,,,
兵庫県,伊丹市,地盤沈下,水準,,42.0km,伊丹市,東洋航空事業,"54.10.22,55.2.29",792,,,,,
兵庫県,"北淡町,五色町,西淡町,南淡町",道路台帳,"撮影,写測","4000,,500","25.8KM2,1.4KM2",兵庫県洲本土木事務所,国際航業,"54.10.22,55.3.25",,,,郡削除,,
兵庫県,"洲本市,南淡町",道路台帳,"撮影,写測","4000,,500","31.3KM2,2.2KM2",兵庫県洲本土木事務所,アジア航測,"54.10.2,55.3.25",,,,郡削除,,
