都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,実施時期,付図番号
香川県,"丸亀市,",都市計画,"数値図修正,数値図化,編集,水準,空三","1000,,2500,,10000,,簡級","41.0KM2,41.0KM2,41.0KM2,56.5km,42M",香川県丸亀市助言090806H0066,国際航業(株),"09.08.01,10.03.25",1227
愛媛県,"新居浜市,",地籍図作成,"基準点,基準点,基準点,基準点","1級,,2級,,3級,,4級","1point,2point,3point,50point",松山地方法務局助言090516H0011,愛媛県公共嘱託登記土地家屋調査士協会,"09.05.15,09.08.15",
愛媛県,"松山市,砥部町,久万町,",道路計画,"基準点,水準","2級,,2級","16point,14.0km",建設省四国地方建設局松山工事事務所助言100209H0153,復建調査設計(株),"10.02.16,10.03.31",
愛媛県,"津島町,",ほ場整備,"基準点,基準点","2級,,3級","2point,7point",愛媛県助言090617H0029,(株)八絋設計コンサルタント,"09.07.01,10.02.28",
愛媛県,"東予市,丹原町,",下水道計画・下水道台帳作成,"基準点,水準,カラー撮影,空三,数値図化","3級,,3級,,4000,,500","6point,12.9km,2.4KM2,10M,1.2KM2",東予市・丹原町公共下水道事務組合助言091120H0120,アジア航測(株),"09.11.11,10.03.12",
愛媛県,"伊予市,松前町,",道路計画,"基準点,基準点,水準","3級,,4級,,3級","10point,28point,3.3km",建設省四国地方建設局松山工事事務所助言090918H0096,(株)エイトコンサルタント,"09.09.02,10.03.10",
愛媛県,"大洲市,",河川管理,基準点,3級,3point,建設省四国地方建設局大洲工事事務所助言090729H0055,(株)五星,"09.07.10,09.07.31",
愛媛県,"松山市,",ほ場整備,基準点,3級,8point,愛媛県助言090612H0020,南海測量設計(株),"09.07.01,10.02.28",
愛媛県,"重信町,",ほ場整備,基準点,3級,4point,愛媛県助言090612H0021,南海測量設計(株),"09.07.01,10.02.28",
愛媛県,"中山町,",ほ場整備,基準点,3級,4point,愛媛県助言090612H0022,南海測量設計(株),"09.07.01,10.02.28",
愛媛県,"川之江市,",地籍調査,基準点,3級,12point,日本道路公団四国支社池田工事事務所助言100310H0170,松本測量設計(株),"10.02.23,10.03.27",
愛媛県,"宇和島市,",ほ場整備,基準点,3級,2point,愛媛県助言090612H0023,(株)八絋設計コンサルタント,"09.07.01,10.02.28",
