都道府県名,測量地域,測量目的,測量種別,縮尺･等級,事業量,計画機関,作業機関,自至時期
北海道,"愛別町,",道路台帳,基準点,3級,5point,"旭川開発建設部
助言　　　H18.6.19 A 0126",東武計画(株),"H18.6.19
H18.8.30"
北海道,"札幌市,",道路台帳,基準点,3級,3point,"札幌開発建設部
助言　　　H18.6.19 A 0127",スミセキ･ジオテクノ(株),"H18.5.26
H18.8.10"
北海道,"南幌町,",土地改良,基準点,3級,10point,"北海道空知支庁
助言　　　H18.6.21　A 0128",北日本技研(株),"H18.4.25
H18.12.8"
北海道,"芽室町,",土地改良,"座標変換,基準点","3級,,4級","10point,15point","北海道十勝支庁
助言　　　H18.6.21　A 0129",アラヤ総合設計(株),"H18.4.21
H18.7.31   "
北海道,"斜里町,",道路用地,"基準点,基準点","3級,,4級","7point,17point","北海道網走支庁
助言　　　H18.6.21　A 0130",高野測量(有),"H18.6.12
H19.1.31"
北海道,"白老町,",砂防計画,"基準点,基準点","1級,,3級","3point,5point","白老町
助言　　　H18.6.21　A 0131",(株)タナカコンサルタント,"H18.6.16
H18.6.16"
北海道,"厚沢部町,",道路用地,基準点,2級,4point,"函館開発建設部
助言　　　H18.6.21　A 0132",(株)竹田測量設計,"H18.6.14
H18.7.7"
北海道,"別海町,",道路台帳,"基準点,基準点","3級,,4級","6point,3.4km","釧路開発建設部
助言　　　H18.6.21　A 0133",(株)日東測量設計社,"H18.6.14
H19.1.23"
北海道,"根室市,",港湾計画,"基準点,座標変換","4級,,3級","2point,3point","釧路開発建設部
助言　　　H18.6.21　A 0134",岩浅測量設計(有),"H18.6.14
H18.7.4"
北海道,"厚真町,",土地改良,基準点,3級,17point,"北海道胆振支庁
助言　　　H18.6.23 A 0135",(株)香島コンサルタント,"H18.6.16
H19.3.20"
北海道,"長沼町,",土地改良,基準点,3級,25point,"北海道空知支庁
助言　　　H18.6.23 A 0136",(株)協和コンサルタント,"H18.6.16
H19.2.28"
北海道,"由仁町,",土地改良,"基準点,座標変換","3級,,3級","19point,3point","北海道空知支庁
助言　　　H18.6.23 A 0137",(株)北開測地,"H18.6.16
H19.2.9"
北海道,"東神楽町,",土地改良,基準点,3級,23point,"北海道上川支庁
助言　　　H18.6.23 A 0138",(株)ルーラルェンジニア,"H18.6.20
H19.2.28"
北海道,"東神楽町,",ほ場整備,基準点,3級,17point,"北海道上川支庁
助言　　　H18.6.23 A 0139",新栄コンサルタント(株),"H18.5.23
H19.1.31"
北海道,"当別町,",土地改良,基準点,3級,4point,"北海道石狩支庁
助言　　　H18.6.23 A 0140",(株)田西設計コンサル,"H18.6.16
H19.1.30"
北海道,"士別市,",土地改良,基準点,3級,11point,"北海道上川支庁
助言　　　H18.6.23 A 0141",(株)帝国設計事務所,"H18.6.20
H18.12.20"
北海道,"秩父別町,",土地改良,基準点,3級,15point,"北海道空知支庁
助言　　　H18.6.23 A 0142",アジア航測(株),"H18.6.22
H19.1.30"
北海道,"秩父別町,",ほ場整備,基準点,3級,22point,"北海道空知支庁
助言　　　H18.6.23 A 0143",(株)みずほ栄設計,"H18.6.16
H18.11.30"
北海道,"根室市,",道路計画,"基準点,基準点","2級,,3級","1point,5point","北海道釧路支庁
助言　　　H18.6.23 A 0144",北海道キング設計(株),"H18.6.20
H18.7.31"
北海道,"豊頃町,",河川管理,"基準点,基準点","2級,,3級","1point,29point","帯広開発建設部
助言　　　H18.6.23 A 0145","東和工研(株)
北海道測量事業協同組合","H18.6.15
H18.11.20"
北海道,"帯広市,中札内村,音更町,幕別町,池田町,豊頃町,浦幌町,",砂防計画,"カラー撮影,カラー撮影","10000,,12500","27.6KM2,160.4KM2","帯広開発建設部
助言　　　H18.6.23 A 0146",(株)シン技術コンサル,"H18.5.31
H18.11.16"
北海道,"訓子府町,陸別町,",道路計画,"基準点,基準点,水準,カラー撮影,空三,数値図化","１級,,2級,,3級,,8000,,1000,,1000","7point,12point,11.5km,17.7KM2,13M,5.0KM2","網走開発建設部
助言　　　H18.6.23 A 0147",(株)パスコ,"H18.6.14
H18.12.12"
北海道,"釧路市,",道路計画,基準点,2級,2point,"北海道釧路支庁
助言　　　H18.6.23 A 0148",(株)構研エンジニアリング,"H18.5.26
H18.8.10"
北海道,"共和町,",土地改良,基準点,3級,6point,"北海道後志支庁
助言　　　H18.6.23 A 0149",明成コンサルタント(株),"H18.6.19
H18.9.24"
北海道,"浜中町,",土地改良,基準点,3級,7point,"釧路開発建設部
助言　　　H18.6.23 A 0150",(株)三祐コンサルタンツ,"H18.6.19
H18.11.20"
北海道,"知内町,",土地改良,基準点,3級,2point,"北海道渡島支庁
助言　　　H18.6.23 A 0151",臥牛測量設計(株),"H18.6.19
H18.11.10"
北海道,"和寒町,",道路台帳,"基準点,座標変換","3級,,2級","6point,2point","旭川開発建設部
助言　　　H18.6.23 A 0152",三共測量コンサルタント(株),"H18.6.26
H18.9.25"
北海道,"更別村,",土地改良,基準点,１級,3point,"帯広開発建設部
助言　　　H18.6.23 A 0153",北海道農業土木コンサルタント,"H18.6.19
H18.10.24"
北海道,"東川町,",道路計画,基準点,3級,1point,"北海道旭川土木現業所
助言　　　H18.6.23 A 0154",(株)富士建設コンサル,"H18.6.30
H18.7.30"
北海道,"礼文町,",道路用地,基準点,１級,2point,"北海道宗谷支庁
助言　　　H18.6.23 A 0155",(株)ズコーシャ,"H18.6.26
H18.10.10"
北海道,"深川市,",土地改良,基準点,3級,19point,"北海道空知支庁
助言　　　H18.6.26 A 0156",(株)グリーン測量,"H18.6.21
H19.2.13"
