都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,計画機関,作業機関,自至時期,
宮崎県,"高原町,",土地改良,"基準点,基準点","２級,,４級","6point,0.7KM2",助言H21.12.24I0343宮崎県,"宮崎県土地改良事業団体
連合会","H22.1.5
H22.3.25",
宮崎県,"日向市,",道路台帳,"基準点,基準点","２級,,３級","1point,3point","助言H21.12.25I0349九州地方整備局　延岡河川国
道事務所","正栄技術コンサルタント株
式会社","H21.12.25
H22.3.12",
宮崎県,"宮崎市,",基準点維持管理,基準点,2級　再設,2point,"助言H22.1.21I0376九州地方整備局　宮崎河川国
道事務所宮崎維持出張所","株式会社西田技術開発コ
ンサルタント","H22.1.25
H22.2.26",
宮崎県,"都城市,三股町,",砂防計画,"数値図化,ディジタルオルソ","2500,,25㎝解像度","1.8KM2,36.8KM2",助言H22.1.25I0384宮崎県　都城土木事務所,"パシフィックコンサルタンツ
(株)","H22.1.1
H22.3.25",
宮崎県,"宮崎市,",治山事業計画,"航空レーザ,航空レーザ,航空レーザ,水準","航空レーザ計測,,グラウンドデータ作成,,グリッドデータ作成（1m）,,４級","43.6KM2,43.6KM2,43.6KM2,20km",助言H22.2.5I0404林野庁　九州森林管理局,朝日航洋(株),"H22.2.5
H22.3.10",
宮崎県,"延岡市,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","8.2KM2,8.2KM2",助言H22.2.16I0411宮崎県　延岡土木事務所,アジア航測(株),"H22.2.16
H22.3.15",
宮崎県,"小林市,高原町,",砂防計画,"数値図化,ディジタルオルソ","2500,,2500","7.8KM2,23.4KM2",助言H22.2.19I0419宮崎県　小林土木事務所,(株)パスコ,"H21.7.3
H22.3.25",
宮崎県,"日南市,",道路計画,"カラー撮影,空三,ディジタルオルソ","8000,,8000,,5000","21.5KM2,17Ｍ,21.5KM2","助言H22.2.19I0420九州地方整備局　宮崎河川国
道事務所",扇精光(株),"H22.2.10
H22.3.31",
宮崎県,"宮崎市,高鍋町,新富町,",海岸保全,"空三,数値図修正,水準","12500,,2500,,簡級","28Ｍ,25KM2,25km","助言H22.2.22I0422九州地方整備局　宮崎河川国
道事務所",(株)高崎総合コンサルタント,"H22.2.22
H22.3.30",
宮崎県,"都城市,",雇用創出ゾーン整備事業,基準点,３級,5point,助言H22.3.4I0439都城市,"株式会社八光開発コンサ
ルタント","H22.3.4
H22.6.30",
宮崎県,"宮崎市,",土地区画整理,"基準点,平板・修正","４級,,出来形確認測量","29point,7KM2",助言H22.3.16I0451宮崎市,"アース建設コンサルタント
(株)
(有)島田総合コンサルタント
(有)水工プランニング
(有)東進測量設計","H22.3.29
H22.4.30",
鹿児島県,"鹿屋市,肝付町,東串良町,",河川管理,"基準点,座標変換","２級,,２級","6point,18point","助言H21.5.8I0014国土交通省九州地方整備局
大隅河川国道事務所","株式会社アジア技術コンサ
ルタンツ
株式会社丸建技術","H21.5.8
H21.7.31",
鹿児島県,"長島町,",土地改良,"基準点,基準点,基準点","２級,,３級,,４級","2point,2point,6point",助言H21.5.19I0024長島町,"鹿児島県土地改良事業団
体連合会","H21.6.1
H22.3.19",
鹿児島県,"鹿児島市,",道路計画,"基準点,基準点","３級,,４級","13point,16point",助言H21.6.2I0040鹿児島市,"大福コンサルタント　株式会
社","H21.6.2
H21.11.27",
鹿児島県,"鹿屋市,",土地改良,"基準点,基準点,基準点","２級,,３級,,４級","9point,13point,38point","助言H21.6.11I0047鹿児島県大隅地域振興局農
林水産部農村整備課","鹿児島県土地改良事業団
体連合会","H21.6.19
H22.3.25",
鹿児島県,"曽於市,",道路台帳,"基準点,基準点","２級,,３級","4point,27point","助言H21.6.22I0057九州地方整備局鹿児島国道
事務所","九州テクノリサーチ株式会
社","H21.6.22
H21.12.31",
鹿児島県,"薩摩川内市,",その他,"基準点,基準点","３級,,４級","2point,4point",助言H21.6.25I0062熊本防衛支局,"株式会社　エーワンコンサ
ルタント","H21.6.25
H21.7.31",
鹿児島県,"曽於市,",道路計画,"基準点,基準点,水準,水準","２級,,３級,,３級,,改算（H9I0148）","9point,13point,5point,37km","助言H21.6.30I0068鹿児島県大隅地域振興局建
設部曽於支所",株式会社　萩原技研,"H21.6.30
H21.8.14",
鹿児島県,"屋久島町,",土地改良,"基準点,基準点,基準点","２級,,３級,,４級","11point,12point,25point","助言H21.7.13I0083鹿児島県熊毛支庁屋久島事
務所","鹿児島県土地改良事業団
体連合会","H21.7.21
H21.12.28",
鹿児島県,"さつま町,",ダム計画,"カラー撮影,空三,数値図化,水準","4000,,,,500,,簡級","1.3KM2,13Ｍ,1.3KM2,6km","助言H21.7.21I0091九州地方整備局　川内川河川
事務所",(株)高崎総合コンサルタント,"H21.7.21
H21.12.4",
鹿児島県,"志布志市,",道路計画,基準点,３級,7point,"助言H21.7.24I0099九州地方整備局　大隅河川国
道事務所","株式会社　建設技術コンサ
ルタンツ","H21.7.24
H21.8.31",
鹿児島県,"指宿市,",その他,その他,都市再生街区基本調査,0.7KM2,助言H21.7.28I0103土地・水資源局　国土調査課,中央テクノ株式会社,"H21.7.22
H22.2.8",
鹿児島県,"指宿市,",土地区画整理,基準点,４級,25point,助言H21.8.3I0110指宿市,朝日航洋株式会社,"H21.8.3
H22.3.25",
鹿児島県,"指宿市,",その他,その他,都市再生街区基本調査,0.7KM2,助言H21.8.4I0120土地・水資源局　国土調査課,大福コンサルタント(株),"H21.7.16
H22.2.8",
鹿児島県,"指宿市,",その他,その他,都市再生街区基本調査,0.6KM2,助言H21.8.4I0121土地・水資源局　国土調査課,大福コンサルタント(株),"H21.7.16
H22.1.15",
鹿児島県,"伊仙町,",土地改良,"基準点,基準点,基準点","２級,,３級,,４級","2point,10point,29point","助言H21.8.4I0122鹿児島県大島支庁徳之島事
務所","鹿児島県土地改良事業団
体連合会","H21.8.10
H22.3.19",
鹿児島県,"志布志市,",地籍調査,その他,地籍図根多角点,4KM2,助言H21.8.10I0133志布志市,大正測量設計株式会社,"H21.8.17
H21.11.30",
鹿児島県,"薩摩川内市,",総合計画,数値図化,2500,3KM2,助言H21.8.25I0155鹿児島県　薩摩川内市,国際航業(株),"H21.8.19
H22.2.19",
鹿児島県,"和泊町,",土地改良,基準点,４級,9point,"助言H21.8.26I0157鹿児島県大島支庁沖永良部
事務所","鹿児島県土地改良事業団
体連合会","H21.8.26
H22.3.24",
鹿児島県,"和泊町,",土地改良,基準点,４級,18point,"助言H21.8.26I0158鹿児島県大島支庁沖永良部
事務所","鹿児島県土地改良事業団
体連合会","H21.8.26
H22.3.24",
鹿児島県,"知名町,",土地改良,"基準点,基準点,基準点","２級,,３級,,４級","2point,2point,4point","助言H21.8.26I0159鹿児島県大島支庁沖永良部
事務所","鹿児島県土地改良事業団
体連合会","H21.8.26
H22.3.24",
鹿児島県,"鹿児島市,",土地区画整理,"基準点,その他","４級,,出来形確認測量","63point,0.3KM2",助言H21.8.28I0165鹿児島市,"財団法人　鹿児島土地区
画整理協会","H21.9.10
H21.12.2",
