都道府県名,測量地域,測量目的,測量種別,縮尺・等級,事業量,測量計画機関（助言番号）,測量作業機関,実施時期
愛知県,"安城市,",総合計画,"数値撮影(デジタル),写真地図作成(デジタルオルソ)","10,,1000","86.05KM2,86.05KM2","愛知県安城市 
助言　　　H27.12.17  E0257",アジア航測株式会社,"H27.12.23 
H28.3.14"
愛知県,"豊橋市,",基準点管理,基準点測量,３級,1point,"愛知県豊橋市 
助言　　　H27.12.17  E0258","株式会社大地コンサルタ
ント","H27.12.11 
H28.3.11"
愛知県,"日進市,",総合計画,復旧測量(基準点),３級,2point,"愛知県日進市 
助言　　　H27.12.17  E0260",株式会社パスコ,"H27.6.24 
H27.7.17"
愛知県,"名古屋市,",地籍調査,基準点測量,４級,3point,"愛知県名古屋市 
助言　　　H27.12.17  E0262","有限会社名晃コンサルタ
ンツ","H27.12.14 
H28.1.31"
愛知県,"みよし市,",固定資産,"数値撮影(デジタル),同時調整","12,,1000","32.19KM2,32.19KM2","愛知県みよし市 
助言　　　H27.12.17  E0264",株式会社パスコ,"H27.12.14 
H28.3.25"
愛知県,"日進市,",固定資産,"数値撮影(デジタル),同時調整","12,,1000","34.91KM2,34.91KM2","愛知県日進市 
助言　　　H27.12.21  E0265",株式会社パスコ,"H27.12.14 
H28.3.24"
愛知県,"東浦町,",道路管理,修正測量,1000,"0.034KM2,3.47km","愛知県東浦町 
助言　　　H27.12.17  E0267",アジア航測株式会社,"H27.12.7 
H28.3.4"
愛知県,"豊田市,",道路管理,基準点測量,２級,2point,"愛知県豊田加茂建設事務所 
助言　　　H27.12.21  E0270",株式会社中部テック,"H27.9.18 
H28.3.18"
愛知県,"豊橋市,蒲郡市,",海岸保全,"MMS計測,数値図化","1000,,1000","37.9km,0.94KM2","愛知県三河港務所 
助言　　　H28.1.4  E0275",株式会社フジヤマ,"H27.12.21 
H28.3.18"
愛知県,"高浜市,",その他,"基準点測量,基準点測量","３級,,４級","4point,1.2km","愛知県知立建設事務所 
助言　　　H27.12.22  E0277",株式会社新日,"H28.1.6 
H28.3.18"
愛知県,"豊田市,",道路計画,基準点測量,２級,2point,"愛知県豊田加茂建設事務所 
助言　　　H27.12.22  E0278","柴山コンサルタント株式
会社","H27.9.18 
H28.2.29"
愛知県,"東浦町,東郷町,みよし市,豊明市,大府市,豊田市,",河川計画,"航空レーザ測量,水準測量","500,,４級","9.78KM2,70km","愛知県知立建設事務所 
助言　　　H28.1.5  E0279",中日本航空株式会社,"H27.11.17 
H28.3.18"
愛知県,"名古屋市,",その他,基準点測量,４級,48point,"法務省名古屋法務局 
助言　　　H28.1.6  E0281",藤谷測量登記事務所,"H27.12.14 
H28.2.29"
愛知県,"新城市,",道路管理,修正測量,1000,"0.33KM2,9.54km","愛知県新城市 
助言　　　H28.1.6  E0291",アジア航測株式会社,"H27.12.16 
H28.3.22"
愛知県,"清須市,",土地区画整理,基準点測量,３級,2point,"清須春日新橋西土地区画整理
組合 
助言　　　H28.1.7  E0292","中央コンサルタンツ株式
会社","H28.1.11 
H28.1.22"
愛知県,"名古屋市,",道路計画,"基準点測量,基準点測量,水準測量,用地測量","２級,,４級,,３級,,500","1point,29point,2point,0.002KM2","愛知県名古屋市 
助言　　　H28.1.12  E0293",東亜測量設計株式会社,"H27.12.1 
H28.2.29"
愛知県,"豊田市,",基準点管理,"基準点測量,基準点測量","２級,,３級","1point,8point","愛知県豊田市 
助言　　　H28.1.12  E0294",藤コンサル株式会社,"H28.1.18 
H28.2.29"
愛知県,"新城市,",道路計画,基準点測量,２級,6point,"愛知県新城設楽建設事務所 
助言　　　H28.1.12  E0295",株式会社ニュージェック,"H28.1.7 
H28.3.20"
愛知県,"東栄町,",その他,基準点測量,２級,1point,"愛知県新城設楽建設事務所 
助言　　　H28.1.12  E0297","太栄コンサルタンツ株式
会社","H27.12.3 
H28.3.18"
